inventor_id,name,country
fl:we_ln:jiang-165,Wenjing Jiang,CN
fl:ei_ln:baumker-1,Eiko BÄUMKER,DE
fl:ri_ln:kroeger-1,Richard Kroeger,Unknown
fl:th_ln:bush-1,Thomas A. Bush,Unknown
fl:ma_ln:boudreaux-4,Matthew F. Boudreaux,US
fl:ge_ln:whitworth-1,Gerald Whitworth,Unknown
fl:ro_ln:egnatchik-1,Robert Egnatchik,US
fl:th_ln:fleming-4,Thomas W. Fleming,US
fl:du_ln:moon-7,Duck Su Moon,KR
fl:sa_ln:woods-2,Samuel G. Woods,US
fl:ta_ln:hosoda-4,Takuya Hosoda,JP
fl:ev_ln:mudrane-1,Eva K. Mudráné,HU
0000n8nqsxhrztn7djlxou00k,Muamer Zukic,US
fl:do_ln:angelosanto-1,Donald J. Angelosanto,US
fl:ba_ln:james-7,Barry James,GB
fl:le_ln:neitzel-1,Lee Allen Neitzel,US
fl:ja_ln:files-4,Jace W. Files,US
fl:st_ln:parkvall-1,Stefan Parkvall,SE
fl:ja_ln:feine-1,James Feine,US
fl:ch_ln:gaal-1,Christopher Gaal,US
fl:mo_ln:narasaiah-1,Mohan Narasaiah,IN
fl:hi_ln:takeuchi-48,Hiroto Takeuchi,JP
fl:ch_ln:liu-1379,Chaopeng Liu,CN
fl:jo_ln:jung-23,Joon-Young Jung,KR
fl:br_ln:carette-2,Brigitte Carette,FR
fl:mi_ln:artinger-1,Michael A. Artinger,US
fl:ed_ln:zizminskas-1,Edvinas ZIZMINSKAS,US
fl:je_ln:bouchet-6,Jean Bouchet,CH
fl:te_ln:kaneko-13,Tetsuya Kaneko,JP
fl:an_ln:ferreol-1,Anne Ferreol,FR
fl:mi_ln:rector-1,Mindy Dawn Rector,US
fl:jo_ln:matta-2,Joseph E. Matta,US
fl:hi_ln:tanada-3,Hiroki Tanada,JP
fl:br_ln:brinson-2,Brad D. Brinson,US
fl:se_ln:kwon-94,Se-Ah Kwon,KR
fl:no_ln:kunze-1,Norbert Kunze,DE
fl:al_ln:bulla-1,Alexandre Bulla,CH
fl:vi_ln:benatti-1,Vincenzo Benatti,IT
fl:xu_ln:dong-28,Xue Dong,CN
fl:ju_ln:hirooka-2,Junji Hirooka,JP
fl:si_ln:chawla-1,Sidakpreet Singh Chawla,IN
fl:yu_ln:kawamoto-8,Yuka Kawamoto,JP
fl:fe_ln:wang-87,Feng Wang,CN
fl:da_ln:cvoric-1,Dalibor Cvoric,NL
fl:sa_ln:teramoto-3,Satoshi Teramoto,JP
fl:ha_ln:andersson-10,Hans Andersson,SE
fl:ka_ln:yamamoto-123,Katsutoshi Yamamoto,JP
fl:wa_ln:feghali-3,Wajdi K. Feghali,US
fl:ev_ln:seevinck-1,Evert Seevinck,NL
fl:ma_ln:marshall-19,Mary C. Marshall,US
fl:sa_ln:smith-27,Samuel Melvin Smith,US
fl:yo_ln:fujii-7,Yosuke Fujii,JP
fl:mu_ln:ishikawa-1,Muriel Y. Ishikawa,US
fl:pe_ln:marbach-1,Peter Marbach,CH
fl:br_ln:fox-20,Brian G. Fox,US
fl:pa_ln:iannone-2,Patrick P. Iannone,US
fl:zh_ln:sun-126,Zhaohui Sun,US
fl:ch_ln:liang-25,Chun-Sheng Liang,TW
fl:to_ln:yoshizawa-16,Toshio Yoshizawa,Unknown
fl:ru_ln:schickfluss-1,Rudolf Schickfluss,Unknown
fl:mi_ln:ignatieu-1,Mikhail Ignatieu,FR
fl:su_ln:hiyama-1,Susumu Hiyama,JP
fl:ka_ln:virtanen-3,Kari Virtanen,FI
fl:mi_ln:mursch-1,Michael Mursch,DE
0004z0eq002iqz3t9ecx7l5ml,Paul Barberi,FR
fl:aj_ln:luthra-1,Ajay Luthra,US
fl:ch_ln:vigild-1,Christian Winge Vigild,DE
fl:jo_ln:edwards-71,Joshua Edwards,US
fl:th_ln:tellinghuisen-1,Thomas J. Tellinghuisen,US
fl:ro_ln:colwill-2,Robert Jerome Colwill,US
fl:ri_ln:holub-1,Richard A. Holub,US
fl:st_ln:stewart-18,Stephen Stewart,AU
fl:sc_ln:myers-6,Scott A. Myers,US
fl:bj_ln:gunderson-2,Bjorn Gunderson,US
fl:hi_ln:kozai-2,Hiroaki Kozai,JP
fl:st_ln:hirsch-3,Steven B. Hirsch,US
fl:ma_ln:abdelrahman-2,Mahmoud F. Abdel-Rahman,US
fl:ye_ln:wu-78,Yejun Wu,CN
fl:cy_ln:shovary-1,Cynthia Ann Shovary,US
fl:jo_ln:ellenberger-2,Jonathan Ellenberger,US
fl:pr_ln:fick-1,Preston Fick,US
fl:ja_ln:schukat-1,Jan Schukat,DE
fl:ne_ln:harris-4,Neil Victor Harris,GB
fl:fa_ln:barbier-1,Fabrice Barbier,FR
fl:na_ln:kumagai-1,Naoyuki Kumagai,JP
fl:da_ln:garrett-17,Danny Garrett,US
fl:an_ln:schulz-5,Anatol Schulz,DE
fl:xu_ln:bian-8,Xuqi Bian,CN
fl:wa_ln:chen-45,Wan-Chun Chen,TW
fl:ca_ln:zimmerman-4,Carey W. Zimmerman,US
fl:ja_ln:cassoli-2,Jair CASSOLI,DE
fl:ke_ln:belyk-1,Kevin M. Belyk,US
fl:ro_ln:benkar-1,Rohan Benkar,US
fl:jo_ln:sporn-2,Joseph S. Sporn,US
fl:ta_ln:chuman-2,Takashi Chuman,JP
fl:je_ln:powers-14,Jeffrey E. Powers,US
fl:ke_ln:thompson-24,Kenneth O. Thompson,US
fl:sh_ln:iwama-7,Shinichi Iwama,JP
fl:em_ln:sallard-1,Emmanuelle Sallard,FR
fl:se_ln:taffler-1,Sean Taffler,US
fl:ma_ln:awad-4,Mariette Awad,US
fl:je_ln:schmidt-12,Jeffrey C. Schmidt,US
fl:cr_ln:noeldner-1,Craig Andrew Noeldner,US
fl:er_ln:berger-4,Eric L. Berger,US
fl:sc_ln:elwood-1,Scott H. Elwood,US
fl:ja_ln:hovis-1,James E. Hovis,US
fl:my_ln:hunukumbure-1,Mythri HUNUKUMBURE,GB
fl:er_ln:urdang-1,Erik G. Urdang,US
fl:de_ln:kurschner-2,Dennis L. Kurschner,US
fl:da_ln:yu-50,Daniel Yu,US
fl:mo_ln:sawada-1,Motoshi Sawada,JP
fl:sa_ln:srinivasan-17,Saraswathy Srinivasan,US
fl:st_ln:soldin-1,Steven J. Soldin,US
fl:yi_ln:tseng-6,Yi-Ling Tseng,TW
fl:yo_ln:matsuda-49,Yoshimoto Matsuda,JP
fl:ro_ln:soler-3,Robert R. Soler,US
fl:hi_ln:ikeda-32,Hidetsugu Ikeda,JP
fl:nu_ln:rosly-1,Nur Amalina Rosly,MY
fl:su_ln:lee-469,Su Jin Lee,KR
fl:ta_ln:nara-5,Takashi Nara,JP
fl:fr_ln:weisenborn-1,Frank L. Weisenborn,US
fl:th_ln:kaiser-5,Thomas Kaiser,DE
fl:br_ln:tockman-1,Bruce A. Tockman,US
fl:ma_ln:baker-61,Martin C. Baker,US
fl:ho_ln:simionescu-1,Horia Simionescu,US
fl:ju_ln:koch-9,Juergen Koch,DE
fl:ko_ln:nose-4,Koichi Nose,JP
fl:ch_ln:li-887,Chao Li,CN
fl:er_ln:ruhrnschopf-1,Ernst-Peter Rührnschopf,DE
fl:wi_ln:bruls-8,Wilhelmus Hendrikus Alfonsus Bruls,NL
fl:al_ln:henderson-19,Alex E. Henderson,US
fl:wa_ln:malkin-2,Wayne Allan Malkin,US
fl:sh_ln:li-490,Shubo Li,CN
fl:hi_ln:watanabe-59,Hiroshi Watanabe,JP
fl:ha_ln:hsu-68,Hank Hsu,TW
fl:ro_ln:hurd-6,Robert J. Hurd,US
fl:hi_ln:nagao-18,Hideki Nagao,JP
fl:na_ln:nagashima-3,Nao Nagashima,JP
fl:ri_ln:todd-3,Richard Simon Todd,US
fl:ge_ln:zhang-60,George(Huanyi) Zhang,US
fl:sy_ln:galineau-1,Sylvain P. Galineau,US
fl:sa_ln:morinaga-3,Satoshi Morinaga,JP
fl:ma_ln:oshiro-11,Marc Oshiro,US
fl:ji_ln:choi-278,Jinsoo CHOI,KR
fl:ti_ln:hartjes-1,Timothy P. Hartjes,US
fl:da_ln:meyer-50,Daniel Meyer,US
fl:ja_ln:andersson-5,Jan Andersson,SE
fl:de_ln:stephens-2,Dennis L. Stephens,US
fl:me_ln:siebert-1,Melissa Siebert,US
fl:er_ln:townsend-4,Eric Christopher TOWNSEND,US
fl:ta_ln:taura-2,Tadayuki Taura,JP
fl:he_ln:gaub-2,Hermann Gaub,DE
fl:ge_ln:provost-1,George A. Provost,US
fl:da_ln:motov-1,David L. Motov,RU
fl:ho_ln:jaeschke-1,Horst Jaeschke,US
fl:bo_ln:cichon-1,Bob A. Cichon,US
fl:st_ln:yu-18,Stephanie Yu,US
fl:su_ln:jung-217,Sunghoon Jung,KR
fl:de_ln:hsu-7,Derek Hsen Dai Hsu,US
fl:ro_ln:crook-2,Ronald J. Crook,US
fl:ne_ln:joshi-7,Neeta Joshi,IN
fl:ku_ln:tzeng-1,Kuo-Hwa Tzeng,TW
fl:sa_ln:khan-54,Sana Fahim Khan,US
fl:ar_ln:henry-2,Arnold W. Henry,US
fl:ta_ln:uda-13,Taizo Uda,JP
000c0a89h3umx2083c1fhf6sc,Arthur R. Stennett,US
fl:lu_ln:fanucci-1,Luca Fanucci,IT
fl:jo_ln:ferrerbeltran-2,Jose M. Ferrer Beltran,ES
fl:an_ln:sundstrom-1,Andrew Sundstrom,US
fl:sa_ln:ganu-2,Sachin Ganu,US
fl:ri_ln:schatzberger-1,Richard Schatzberger,US
fl:ha_ln:bodin-1,Hans Bodin,SE
